Dataset,Class,rdf:type triples
YAGO,Librarian,19
YAGO,Catholic_priest,73
YAGO,Freguesia,7
YAGO,Class,109
YAGO,Politician,732
YAGO,Aircraft_pilot,10
YAGO,Film_actor,61
YAGO,Cave_With_Prehistoric_Art_Q11269813,2
YAGO,Screenwriter,60
YAGO,Corporation,170
YAGO,Taxon,3434
YAGO,Television_film,21
YAGO,Ortsteil_Q253019,49
YAGO,Geologist,6
YAGO,Uefa_Euro_2008_Team_Q115647743,1
YAGO,Brewery,1
YAGO,University_Teacher_Q1622272,221
YAGO,Literary_Work_Q7725634,167
YAGO,Historian,94
YAGO,Film_director,78
YAGO,Poet,106
YAGO,Castle,18
YAGO,Mountain_range,24
YAGO,Village_Of_Bulgaria_Q15630849,5
YAGO,Biologist,14
YAGO,Strela-1_Q14701803,1
YAGO,Architect,61
YAGO,Political_scandal,2
YAGO,Port,7
YAGO,Movie,289
YAGO,Journalist,129
YAGO,Musician,47
YAGO,Periodical_literature,40
YAGO,Cave,19
YAGO,Graphic_Artist_Q1925963,14
YAGO,Noble_Family_Q13417114,14
YAGO,Public_company,9
YAGO,Philosopher,34
YAGO,Asteroid,246
YAGO,Church__u0028_building_u0029_,233
YAGO,Stage_actor,41
YAGO,Businessperson,77
YAGO,Abandoned_village,2
YAGO,Sport_cyclist,49
YAGO,Mountain_hut,4
YAGO,Lawyer,92
YAGO,Actor,237
YAGO,Organ_building,2
YAGO,Composer,84
YAGO,Nun,5
YAGO,Cantons_of_France,3
YAGO,Television_show,44
YAGO,Singer,84
YAGO,Coat_of_arms,6
YAGO,Museum,42
YAGO,Basketball_player,130
YAGO,Village_In_Belarus_Q65661087,24
YAGO,Canon_Q1237385,3
YAGO,AdministrativeArea,511
YAGO,Painter,195
YAGO,Railway_bridge,3
YAGO,Belgian_Noble_Family_Q15054484,1
YAGO,Organization,106
YAGO,Château,23
YAGO,Tram_Service_Q15145593,1
YAGO,Watercolorist_Q17505902,4
YAGO,Villages_of_Turkey,19
YAGO,Scholar_Of_English_Q16308156,5
YAGO,Football_club__u0028_association_football_u0029_,36
YAGO,Wayside_cross,34
YAGO,Concert_band,1
YAGO,Trade_Unionist_Q15627169,12
YAGO,Village_In_India_Q56436498,121
YAGO,Norwegian_National_Badminton_Championships,1
YAGO,Dramatico-Musical_Work_Q58483083,17
YAGO,Literary_Character_Q3658341,14
YAGO,Season__u0028_sports_u0029_,148
YAGO,Jewish_cemetery,11
YAGO,Military_personnel,91
YAGO,Village,229
YAGO,Land_Boundary_Q15104814,2
YAGO,Fictional_Cat_Q27120684,1
YAGO,Ship,79
YAGO,Association_football_player,356
YAGO,Economist,45
YAGO,Awrajja,1
YAGO,Officer__u0028_armed_forces_u0029_,44
YAGO,Single__u0028_music_u0029_,110
YAGO,Written_Work_Q47461344,94
YAGO,Districts_of_Indonesia,2
YAGO,Sports_club,30
YAGO,Seat_Of_The_Local_Council_Q34841063,3
YAGO,Mountain,548
YAGO,Grammarian_Q15991187,2
YAGO,Rink_Hockey_Player_Q20900796,1
YAGO,Jazz_guitarist,1
YAGO,Walkway_Q13634881,2
YAGO,Professor__u0028_highest_academic_rank_u0029_,4
YAGO,Person,3023
YAGO,Open-air_museum,2
YAGO,Album,266
YAGO,Police_Zone_Q2621126,2
YAGO,Band__u0028_rock_and_pop_u0029_,92
YAGO,Engineer,33
YAGO,Painting__u0028_object_u0029_,670
YAGO,Choir,4
YAGO,River,405
YAGO,Statistician,4
YAGO,Essayist,8
YAGO,Business_enterprise,53
YAGO,Metro_station,10
YAGO,Pedagogue,26
YAGO,Television_presenter,26
YAGO,Typeface,1
YAGO,Author,40
YAGO,Hamlet__u0028_place_u0029_,109
YAGO,Sanctuary,1
YAGO,Manga_Character_Q87576284,3
YAGO,Playwright,18
YAGO,Conductor__u0028_music_u0029_,19
YAGO,Agriculturist,6
YAGO,Village_Of_Ukraine_Q21672098,19
YAGO,Ballet_dancer,10
YAGO,Rural_settlement__u0028_Russia_u0029_,20
YAGO,Eastern_Orthodox_Priest_Q19340487,4
YAGO,Scientist,37
YAGO,Khutor,8
YAGO,Rural_council__u0028_Ukraine_u0029_,10
YAGO,Amateur_Wrestler_Q12369333,10
YAGO,Street,638
YAGO,Mechanical_Engineer_Q1906857,7
YAGO,Political_divisions_of_Russia,23
YAGO,Parson,2
YAGO,Infrared_Source_Q67206691,72
YAGO,Fossil_Taxon_Q23038290,111
YAGO,Sculpture_Q860861,46
YAGO,Train_station,104
YAGO,Qanat,12
YAGO,Jewelry_designer,3
YAGO,Priest,24
YAGO,Cemetery,100
YAGO,Land_Registrar_Q30571034,1
YAGO,Tell__u0028_archaeology_u0029_,1
YAGO,Fisherman,1
YAGO,Hill,350
YAGO,Geographer,17
YAGO,Train_Service_Q15141321,2
YAGO,Decoration_Q11796413,2
YAGO,White_Sand_Beach_Q28060923,1
YAGO,Yacht_club,1
YAGO,Núcleo_De_Población_Q11939023,1
YAGO,Church_Historian_Q1743122,3
YAGO,Agrotown__u0028_Belarus_u0029_,1
YAGO,Record_label,18
YAGO,Civil_servant,28
YAGO,Housing_estate,2
YAGO,Translator,68
YAGO,Fictional_Human_Q15632617,52
YAGO,Former_Municipality_Q19730508,5
YAGO,Gromada,6
YAGO,Baseball_player,51
YAGO,Supernova,16
YAGO,Synagogue,5
YAGO,Physicist,30
YAGO,Stadium,10
YAGO,Fort,6
YAGO,Military_Leader_Q1402561,13
YAGO,Dongyue_Temple,1
YAGO,Artistic_gymnast,9
YAGO,Mathematician,39
YAGO,Exhibition_Q108719793,1
YAGO,Private_university,1
YAGO,Maalaiskunta,6
YAGO,Zhili_Ting_Q113493544,1
YAGO,Socken_Q1523821,2
YAGO,Commune__u0028_Vietnam_u0029_,9
YAGO,Star,3268
YAGO,Parish_Of_Galicia_Q12397176,2
YAGO,Sums_of_Inner_Mongolia,2
YAGO,Towns_of_China,17
